/data/guichoux/TED/ted_dataset/lmdb_train_speaker_model.pkl
Pose dim: 18
[VAL] joint mae: 0.04797, accel diff: 0.00970, FGD: 251.124, diversity_score: 26.993, BC: 0.784, BC 0.07: 0.782, Symetric_BC: 1.581, feat_D: 85.506 / 162.2s
[VAL] joint mae: 0.02254, accel diff: 0.00264, FGD: 101.295, diversity_score: 77.250, BC: 0.776, BC 0.07: 0.712, Symetric_BC: 1.572, feat_D: 56.090 / 161.8s
[VAL] joint mae: 0.02195, accel diff: 0.00262, FGD: 88.829, diversity_score: 78.902, BC: 0.769, BC 0.07: 0.705, Symetric_BC: 1.564, feat_D: 55.118 / 154.6s
[VAL] joint mae: 0.02132, accel diff: 0.00268, FGD: 73.994, diversity_score: 83.339, BC: 0.759, BC 0.07: 0.704, Symetric_BC: 1.556, feat_D: 54.320 / 165.5s
[VAL] joint mae: 0.02096, accel diff: 0.00270, FGD: 69.854, diversity_score: 78.477, BC: 0.753, BC 0.07: 0.700, Symetric_BC: 1.550, feat_D: 53.876 / 164.0s
[VAL] joint mae: 0.02116, accel diff: 0.00271, FGD: 60.536, diversity_score: 81.913, BC: 0.753, BC 0.07: 0.705, Symetric_BC: 1.551, feat_D: 54.306 / 163.0s
[VAL] joint mae: 0.02101, accel diff: 0.00265, FGD: 62.080, diversity_score: 80.881, BC: 0.752, BC 0.07: 0.702, Symetric_BC: 1.548, feat_D: 54.043 / 164.1s
[VAL] joint mae: 0.02110, accel diff: 0.00264, FGD: 60.563, diversity_score: 83.747, BC: 0.751, BC 0.07: 0.700, Symetric_BC: 1.548, feat_D: 54.325 / 165.5s
[VAL] joint mae: 0.02110, accel diff: 0.00269, FGD: 50.294, diversity_score: 81.955, BC: 0.751, BC 0.07: 0.710, Symetric_BC: 1.547, feat_D: 54.654 / 163.0s
[VAL] joint mae: 0.02115, accel diff: 0.00270, FGD: 49.422, diversity_score: 84.041, BC: 0.751, BC 0.07: 0.713, Symetric_BC: 1.547, feat_D: 54.762 / 161.1s
[VAL] joint mae: 0.02131, accel diff: 0.00269, FGD: 48.820, diversity_score: 83.612, BC: 0.754, BC 0.07: 0.716, Symetric_BC: 1.550, feat_D: 55.083 / 165.2s
[VAL] joint mae: 0.02126, accel diff: 0.00269, FGD: 47.663, diversity_score: 88.305, BC: 0.757, BC 0.07: 0.715, Symetric_BC: 1.554, feat_D: 55.005 / 164.2s
[VAL] joint mae: 0.02209, accel diff: 0.00304, FGD: 32.503, diversity_score: 88.050, BC: 0.750, BC 0.07: 0.729, Symetric_BC: 1.546, feat_D: 57.328 / 163.7s
[VAL] joint mae: 0.02218, accel diff: 0.00315, FGD: 31.641, diversity_score: 89.330, BC: 0.748, BC 0.07: 0.730, Symetric_BC: 1.543, feat_D: 57.577 / 162.3s
[VAL] joint mae: 0.02224, accel diff: 0.00341, FGD: 25.338, diversity_score: 91.769, BC: 0.750, BC 0.07: 0.739, Symetric_BC: 1.546, feat_D: 57.988 / 164.7s
[VAL] joint mae: 0.02221, accel diff: 0.00334, FGD: 25.632, diversity_score: 90.624, BC: 0.750, BC 0.07: 0.739, Symetric_BC: 1.547, feat_D: 57.717 / 158.5s
[VAL] joint mae: 0.02237, accel diff: 0.00347, FGD: 21.748, diversity_score: 93.837, BC: 0.749, BC 0.07: 0.739, Symetric_BC: 1.545, feat_D: 58.652 / 164.4s
[VAL] joint mae: 0.02283, accel diff: 0.00366, FGD: 18.451, diversity_score: 92.308, BC: 0.749, BC 0.07: 0.741, Symetric_BC: 1.545, feat_D: 59.945 / 162.8s
[VAL] joint mae: 0.02280, accel diff: 0.00364, FGD: 20.963, diversity_score: 91.175, BC: 0.755, BC 0.07: 0.747, Symetric_BC: 1.551, feat_D: 59.291 / 163.0s
[VAL] joint mae: 0.02297, accel diff: 0.00376, FGD: 17.838, diversity_score: 95.515, BC: 0.755, BC 0.07: 0.747, Symetric_BC: 1.550, feat_D: 60.177 / 160.4s
[VAL] joint mae: 0.02313, accel diff: 0.00389, FGD: 15.030, diversity_score: 94.300, BC: 0.756, BC 0.07: 0.750, Symetric_BC: 1.551, feat_D: 60.750 / 160.9s
[VAL] joint mae: 0.02336, accel diff: 0.00400, FGD: 15.451, diversity_score: 95.236, BC: 0.757, BC 0.07: 0.751, Symetric_BC: 1.553, feat_D: 61.222 / 163.5s
[VAL] joint mae: 0.02340, accel diff: 0.00401, FGD: 16.055, diversity_score: 96.200, BC: 0.757, BC 0.07: 0.751, Symetric_BC: 1.552, feat_D: 61.354 / 164.2s
[VAL] joint mae: 0.02321, accel diff: 0.00398, FGD: 14.436, diversity_score: 93.472, BC: 0.757, BC 0.07: 0.751, Symetric_BC: 1.552, feat_D: 61.007 / 159.9s
[VAL] joint mae: 0.02327, accel diff: 0.00395, FGD: 14.847, diversity_score: 87.393, BC: 0.758, BC 0.07: 0.751, Symetric_BC: 1.553, feat_D: 60.768 / 163.7s
[VAL] joint mae: 0.02325, accel diff: 0.00371, FGD: 17.000, diversity_score: 95.485, BC: 0.753, BC 0.07: 0.744, Symetric_BC: 1.548, feat_D: 60.373 / 163.9s
[VAL] joint mae: 0.02329, accel diff: 0.00377, FGD: 15.535, diversity_score: 95.881, BC: 0.754, BC 0.07: 0.748, Symetric_BC: 1.550, feat_D: 60.926 / 161.1s
[VAL] joint mae: 0.02354, accel diff: 0.00349, FGD: 13.851, diversity_score: 96.778, BC: 0.743, BC 0.07: 0.735, Symetric_BC: 1.538, feat_D: 61.198 / 159.8s
[VAL] joint mae: 0.02362, accel diff: 0.00353, FGD: 12.528, diversity_score: 95.671, BC: 0.744, BC 0.07: 0.737, Symetric_BC: 1.540, feat_D: 61.844 / 164.1s
[VAL] joint mae: 0.02355, accel diff: 0.00353, FGD: 14.039, diversity_score: 96.809, BC: 0.747, BC 0.07: 0.739, Symetric_BC: 1.542, feat_D: 61.536 / 163.3s
[VAL] joint mae: 0.02362, accel diff: 0.00356, FGD: 12.174, diversity_score: 98.377, BC: 0.743, BC 0.07: 0.736, Symetric_BC: 1.539, feat_D: 61.593 / 162.2s
[VAL] joint mae: 0.02377, accel diff: 0.00353, FGD: 12.397, diversity_score: 95.665, BC: 0.744, BC 0.07: 0.737, Symetric_BC: 1.539, feat_D: 61.954 / 162.7s
[VAL] joint mae: 0.02356, accel diff: 0.00348, FGD: 12.235, diversity_score: 92.772, BC: 0.742, BC 0.07: 0.734, Symetric_BC: 1.537, feat_D: 61.493 / 165.5s
[VAL] joint mae: 0.02390, accel diff: 0.00375, FGD: 11.786, diversity_score: 97.895, BC: 0.736, BC 0.07: 0.729, Symetric_BC: 1.530, feat_D: 62.152 / 160.6s
[VAL] joint mae: 0.02369, accel diff: 0.00361, FGD: 12.048, diversity_score: 95.504, BC: 0.736, BC 0.07: 0.727, Symetric_BC: 1.531, feat_D: 61.541 / 159.5s
[VAL] joint mae: 0.02388, accel diff: 0.00359, FGD: 11.480, diversity_score: 90.202, BC: 0.736, BC 0.07: 0.728, Symetric_BC: 1.530, feat_D: 61.735 / 160.4s
