/data/guichoux/TED/ted_dataset/lmdb_train_speaker_model.pkl
Pose dim: 27
[VAL] joint mae: 0.05010, accel diff: 0.00951, FGD: 258.970, diversity_score: 22.200, BC: 0.785, BC 0.07: 0.781, Symetric_BC: 1.582, feat_D: 82.207 / 194.9s
[VAL] joint mae: 0.02245, accel diff: 0.00261, FGD: 69.293, diversity_score: 81.156, BC: 0.757, BC 0.07: 0.516, Symetric_BC: 1.554, feat_D: 49.743 / 182.9s
[VAL] joint mae: 0.02188, accel diff: 0.00267, FGD: 59.308, diversity_score: 78.843, BC: 0.754, BC 0.07: 0.553, Symetric_BC: 1.552, feat_D: 48.658 / 169.6s
[VAL] joint mae: 0.02159, accel diff: 0.00278, FGD: 46.674, diversity_score: 87.230, BC: 0.753, BC 0.07: 0.593, Symetric_BC: 1.550, feat_D: 48.433 / 171.0s
[VAL] joint mae: 0.02136, accel diff: 0.00275, FGD: 44.384, diversity_score: 85.472, BC: 0.746, BC 0.07: 0.577, Symetric_BC: 1.543, feat_D: 48.414 / 168.8s
[VAL] joint mae: 0.02147, accel diff: 0.00282, FGD: 39.519, diversity_score: 86.454, BC: 0.750, BC 0.07: 0.592, Symetric_BC: 1.547, feat_D: 48.547 / 172.9s
[VAL] joint mae: 0.02134, accel diff: 0.00281, FGD: 38.152, diversity_score: 84.949, BC: 0.752, BC 0.07: 0.595, Symetric_BC: 1.549, feat_D: 48.539 / 171.4s
[VAL] joint mae: 0.02154, accel diff: 0.00287, FGD: 36.024, diversity_score: 83.716, BC: 0.756, BC 0.07: 0.617, Symetric_BC: 1.554, feat_D: 48.974 / 174.7s
[VAL] joint mae: 0.02173, accel diff: 0.00281, FGD: 35.863, diversity_score: 84.516, BC: 0.753, BC 0.07: 0.616, Symetric_BC: 1.549, feat_D: 49.063 / 173.2s
[VAL] joint mae: 0.02168, accel diff: 0.00289, FGD: 32.900, diversity_score: 86.867, BC: 0.758, BC 0.07: 0.639, Symetric_BC: 1.556, feat_D: 49.237 / 168.8s
[VAL] joint mae: 0.02169, accel diff: 0.00292, FGD: 29.577, diversity_score: 89.417, BC: 0.762, BC 0.07: 0.652, Symetric_BC: 1.559, feat_D: 49.411 / 171.9s
[VAL] joint mae: 0.02211, accel diff: 0.00299, FGD: 27.939, diversity_score: 87.241, BC: 0.762, BC 0.07: 0.661, Symetric_BC: 1.559, feat_D: 50.156 / 174.0s
[VAL] joint mae: 0.02270, accel diff: 0.00353, FGD: 19.155, diversity_score: 89.028, BC: 0.760, BC 0.07: 0.717, Symetric_BC: 1.556, feat_D: 51.439 / 172.9s
[VAL] joint mae: 0.02256, accel diff: 0.00355, FGD: 18.153, diversity_score: 91.334, BC: 0.758, BC 0.07: 0.718, Symetric_BC: 1.554, feat_D: 51.576 / 169.6s
[VAL] joint mae: 0.02287, accel diff: 0.00385, FGD: 14.179, diversity_score: 93.830, BC: 0.765, BC 0.07: 0.738, Symetric_BC: 1.561, feat_D: 52.719 / 172.4s
[VAL] joint mae: 0.02309, accel diff: 0.00411, FGD: 11.729, diversity_score: 93.580, BC: 0.767, BC 0.07: 0.747, Symetric_BC: 1.563, feat_D: 53.402 / 172.0s
[VAL] joint mae: 0.02312, accel diff: 0.00417, FGD: 11.488, diversity_score: 93.738, BC: 0.770, BC 0.07: 0.753, Symetric_BC: 1.566, feat_D: 53.211 / 173.2s
[VAL] joint mae: 0.02317, accel diff: 0.00398, FGD: 10.958, diversity_score: 88.693, BC: 0.768, BC 0.07: 0.747, Symetric_BC: 1.563, feat_D: 53.502 / 170.0s
[VAL] joint mae: 0.02328, accel diff: 0.00364, FGD: 12.733, diversity_score: 89.661, BC: 0.760, BC 0.07: 0.727, Symetric_BC: 1.556, feat_D: 53.175 / 169.7s
[VAL] joint mae: 0.02338, accel diff: 0.00360, FGD: 12.440, diversity_score: 91.258, BC: 0.762, BC 0.07: 0.732, Symetric_BC: 1.559, feat_D: 53.436 / 172.7s
[VAL] joint mae: 0.02307, accel diff: 0.00346, FGD: 12.073, diversity_score: 93.694, BC: 0.756, BC 0.07: 0.723, Symetric_BC: 1.554, feat_D: 52.963 / 170.9s
[VAL] joint mae: 0.02328, accel diff: 0.00364, FGD: 12.961, diversity_score: 91.211, BC: 0.758, BC 0.07: 0.736, Symetric_BC: 1.553, feat_D: 53.196 / 168.7s
[VAL] joint mae: 0.02358, accel diff: 0.00358, FGD: 10.142, diversity_score: 94.616, BC: 0.761, BC 0.07: 0.736, Symetric_BC: 1.557, feat_D: 54.038 / 172.0s
[VAL] joint mae: 0.02380, accel diff: 0.00350, FGD: 10.860, diversity_score: 95.152, BC: 0.753, BC 0.07: 0.726, Symetric_BC: 1.549, feat_D: 54.335 / 173.2s
[VAL] joint mae: 0.02377, accel diff: 0.00364, FGD: 9.985, diversity_score: 93.784, BC: 0.756, BC 0.07: 0.734, Symetric_BC: 1.552, feat_D: 54.284 / 171.2s
[VAL] joint mae: 0.02364, accel diff: 0.00361, FGD: 10.827, diversity_score: 94.333, BC: 0.758, BC 0.07: 0.736, Symetric_BC: 1.554, feat_D: 53.945 / 171.4s
[VAL] joint mae: 0.02368, accel diff: 0.00357, FGD: 10.078, diversity_score: 94.389, BC: 0.762, BC 0.07: 0.737, Symetric_BC: 1.559, feat_D: 53.823 / 169.6s
[VAL] joint mae: 0.02399, accel diff: 0.00364, FGD: 10.075, diversity_score: 92.050, BC: 0.764, BC 0.07: 0.742, Symetric_BC: 1.560, feat_D: 54.744 / 171.0s
[VAL] joint mae: 0.02411, accel diff: 0.00352, FGD: 10.888, diversity_score: 91.714, BC: 0.758, BC 0.07: 0.734, Symetric_BC: 1.553, feat_D: 54.849 / 170.7s
[VAL] joint mae: 0.02391, accel diff: 0.00359, FGD: 8.812, diversity_score: 91.701, BC: 0.756, BC 0.07: 0.731, Symetric_BC: 1.553, feat_D: 54.697 / 168.9s
[VAL] joint mae: 0.02398, accel diff: 0.00355, FGD: 9.562, diversity_score: 93.888, BC: 0.757, BC 0.07: 0.730, Symetric_BC: 1.552, feat_D: 54.751 / 172.4s
[VAL] joint mae: 0.02400, accel diff: 0.00353, FGD: 7.749, diversity_score: 95.947, BC: 0.757, BC 0.07: 0.730, Symetric_BC: 1.552, feat_D: 54.946 / 172.5s
[VAL] joint mae: 0.02420, accel diff: 0.00365, FGD: 7.443, diversity_score: 96.251, BC: 0.753, BC 0.07: 0.727, Symetric_BC: 1.550, feat_D: 55.214 / 170.3s
[VAL] joint mae: 0.02394, accel diff: 0.00363, FGD: 7.876, diversity_score: 95.671, BC: 0.752, BC 0.07: 0.725, Symetric_BC: 1.547, feat_D: 54.785 / 169.8s
[VAL] joint mae: 0.02414, accel diff: 0.00349, FGD: 8.240, diversity_score: 95.935, BC: 0.753, BC 0.07: 0.725, Symetric_BC: 1.548, feat_D: 55.275 / 169.7s
[VAL] joint mae: 0.02371, accel diff: 0.00344, FGD: 8.075, diversity_score: 96.651, BC: 0.747, BC 0.07: 0.715, Symetric_BC: 1.542, feat_D: 54.498 / 169.8s
[VAL] joint mae: 0.02405, accel diff: 0.00364, FGD: 9.042, diversity_score: 93.586, BC: 0.750, BC 0.07: 0.722, Symetric_BC: 1.545, feat_D: 54.740 / 171.1s
[VAL] joint mae: 0.02422, accel diff: 0.00356, FGD: 8.133, diversity_score: 93.237, BC: 0.749, BC 0.07: 0.719, Symetric_BC: 1.545, feat_D: 55.479 / 169.7s
[VAL] joint mae: 0.02445, accel diff: 0.00351, FGD: 6.740, diversity_score: 98.416, BC: 0.751, BC 0.07: 0.721, Symetric_BC: 1.547, feat_D: 56.042 / 167.5s
[VAL] joint mae: 0.02411, accel diff: 0.00354, FGD: 8.967, diversity_score: 95.045, BC: 0.754, BC 0.07: 0.727, Symetric_BC: 1.551, feat_D: 55.100 / 170.5s
[VAL] joint mae: 0.02383, accel diff: 0.00343, FGD: 9.475, diversity_score: 94.619, BC: 0.748, BC 0.07: 0.718, Symetric_BC: 1.545, feat_D: 54.632 / 174.8s
[VAL] joint mae: 0.02450, accel diff: 0.00356, FGD: 7.599, diversity_score: 94.016, BC: 0.747, BC 0.07: 0.718, Symetric_BC: 1.542, feat_D: 55.562 / 174.9s
[VAL] joint mae: 0.02452, accel diff: 0.00350, FGD: 6.808, diversity_score: 98.653, BC: 0.749, BC 0.07: 0.722, Symetric_BC: 1.546, feat_D: 56.119 / 168.9s
[VAL] joint mae: 0.02421, accel diff: 0.00348, FGD: 7.244, diversity_score: 97.646, BC: 0.748, BC 0.07: 0.719, Symetric_BC: 1.544, feat_D: 55.344 / 169.1s
[VAL] joint mae: 0.02444, accel diff: 0.00354, FGD: 6.415, diversity_score: 98.054, BC: 0.748, BC 0.07: 0.720, Symetric_BC: 1.544, feat_D: 55.877 / 168.9s
[VAL] joint mae: 0.02439, accel diff: 0.00348, FGD: 7.403, diversity_score: 97.280, BC: 0.745, BC 0.07: 0.713, Symetric_BC: 1.541, feat_D: 55.800 / 167.7s
[VAL] joint mae: 0.02457, accel diff: 0.00358, FGD: 7.613, diversity_score: 93.655, BC: 0.750, BC 0.07: 0.720, Symetric_BC: 1.545, feat_D: 56.109 / 167.2s
[VAL] joint mae: 0.02470, accel diff: 0.00355, FGD: 6.271, diversity_score: 96.345, BC: 0.747, BC 0.07: 0.721, Symetric_BC: 1.543, feat_D: 56.466 / 169.0s
[VAL] joint mae: 0.02442, accel diff: 0.00349, FGD: 7.184, diversity_score: 96.844, BC: 0.747, BC 0.07: 0.713, Symetric_BC: 1.544, feat_D: 55.842 / 167.1s
[VAL] joint mae: 0.02441, accel diff: 0.00364, FGD: 7.107, diversity_score: 95.652, BC: 0.745, BC 0.07: 0.717, Symetric_BC: 1.541, feat_D: 55.635 / 171.8s
[VAL] joint mae: 0.02464, accel diff: 0.00365, FGD: 7.212, diversity_score: 94.411, BC: 0.750, BC 0.07: 0.724, Symetric_BC: 1.546, feat_D: 56.077 / 165.9s
[VAL] joint mae: 0.02467, accel diff: 0.00363, FGD: 6.146, diversity_score: 98.625, BC: 0.745, BC 0.07: 0.716, Symetric_BC: 1.541, feat_D: 56.303 / 167.6s
[VAL] joint mae: 0.02436, accel diff: 0.00352, FGD: 7.316, diversity_score: 97.580, BC: 0.741, BC 0.07: 0.709, Symetric_BC: 1.537, feat_D: 55.476 / 169.4s
[VAL] joint mae: 0.02450, accel diff: 0.00350, FGD: 7.845, diversity_score: 96.970, BC: 0.748, BC 0.07: 0.717, Symetric_BC: 1.544, feat_D: 55.886 / 171.3s
[VAL] joint mae: 0.02462, accel diff: 0.00357, FGD: 7.515, diversity_score: 95.217, BC: 0.749, BC 0.07: 0.720, Symetric_BC: 1.546, feat_D: 55.760 / 174.4s
[VAL] joint mae: 0.02467, accel diff: 0.00359, FGD: 6.925, diversity_score: 97.201, BC: 0.746, BC 0.07: 0.722, Symetric_BC: 1.542, feat_D: 56.174 / 168.4s
[VAL] joint mae: 0.02492, accel diff: 0.00367, FGD: 5.872, diversity_score: 97.867, BC: 0.743, BC 0.07: 0.717, Symetric_BC: 1.539, feat_D: 56.871 / 170.3s
